Clasa,accuracy,precision,recall,true negative rate
c22,0.571428571428571,0,0,0.571428571428571
c15,0.142857142857143,0.142857142857143,1,NaN
c18,1,0,0,0
c11,0.714285714285714,0,0,0.714285714285714
c12,1,0,0,0
c13,0.857142857142857,0,0,0.857142857142857
c33,1,0,0,0
c24,1,0,0,0
Medie,0.785714285714286,0.0178571428571429,0.125,NaN
